Xisting4u,True,2019-02-08 15:57:00,1.061,BIOC Cmon go up already
moh7777885,True,2019-02-08 11:50:00,1.085,BIOC bought 10k at 11 volume is to high to ignore Lets see what happens before EOd
Underworld,,2019-02-08 11:47:00,1.087,BIOC on public offering httpsseekingalphacompr17406617
Black_Dragon,False,2019-02-08 11:45:00,1.091,BIOC scamp
LoOseMoNeY,True,2019-02-08 11:44:00,1.09,BIOC timeismoney2011 Yeah sub 1 lets goo Im waiting
Stockguyyyyy,True,2019-02-08 11:40:00,1.097,BIOC why ddo offering at 120 when stock is over 2 day before Im lost here
OneShot,True,2019-02-08 11:37:00,1.093,BIOC buy low sell high
davegoldo,True,2019-02-08 11:37:00,1.093,BIOC would like to see the face of institutionnal who bought at 225 usd 3 weeks ago surely same as mine lol
timeismoney2011,False,2019-02-08 11:34:00,1.099,BIOC dump dump Sub 1 today Another offer coming then Reverse split
Dkarma,,2019-02-08 11:34:00,1.099,BIOC called itunder a buck youre good heremaybe but when it pops get out
dontgethigh,True,2019-02-08 11:33:00,1.097,BIOC I got lucky today that I didnt get chance to buy at 181 because it get down before Market Open and end up buying at 107
high_hopes,,2019-02-08 11:32:00,1.1,BIOC complete garbage move
STXx,,2019-02-08 11:31:00,1.1,BIOC Just wondering why there wasnt short attack yesterday for ydy news
Vols,,2019-02-08 11:31:00,1.1,BIOC out
movingfast77,True,2019-02-08 11:30:00,1.104,BIOC 70000 on the bid
DoubIeD,True,2019-02-08 11:30:00,1.104,BIOC looking good gonna stock up for next week
movingfast77,True,2019-02-08 11:29:00,1.107,BIOC offering 6 million volume at 6 million already today BUY BUY BUY WHILE ITS LOW
timeismoney2011,False,2019-02-08 11:28:00,1.11,BIOC I hope your not betting on SSR We all know that does not prevent it from dropping another 30
paliotomaro,,2019-02-08 11:28:00,1.11,BIOC premarket offering what a bitch move
movingfast77,True,2019-02-08 11:27:00,1.11,BIOC here 4 years and its has ALWAYS JUMPED 300500 every couple months BUY LOW SELL HIGH ITS LOW needs to settle a bit BUY
P82,True,2019-02-08 11:27:00,1.11,BIOC dont sell cheap
timeismoney2011,False,2019-02-08 11:25:00,1.11,BIOC GL bag holders 2 forces against you Dilutions and hungry Bears
Yamahar6,,2019-02-08 11:23:00,1.11,BIOC Good buy for a good bye
ayayron,True,2019-02-08 11:22:00,1.11,BIOC definitely room here to run has done it relatively recently multiple times in the last year Might suck holding for a while but
movingfast77,True,2019-02-08 11:21:00,1.11,BIOC READY FOR NEW PATENTS DEALS PARTNERSHIP could run up EOD holding over weekend no fear no worries BIOCEPT GAINING A FOOTHOLD
MarkLChelsford,False,2019-02-08 11:20:00,1.113,BIOC AMRS between the huge dump BIOC I told u was coming 2 hours before it did then AMRS little dump 5 figures FRI for moa
Yamahar6,,2019-02-08 11:20:00,1.113,BIOC Underwriters wrote this at 12 and analysts PT is 5seeing what i am seeing
csb3,,2019-02-08 11:18:00,1.11,BIOC they basically only have 2 options Pump like crazy or rs Minor bag holder here Im down 50500
movingfast77,True,2019-02-08 11:18:00,1.11,BIOC 3 weeks ago went from 68 cents to 370 350 Bigger gains on the way July from 340 to 11 in 2 days Jan 2018 samewill again
Benzinga,,2019-02-08 11:18:00,1.11,MidMorning Market Update Markets Open Lower Hasbro Misses Q4 Estimates benzingacomnews1902131 HAS COTY APOP BIOC ALE BKH
Jonnymiller7,,2019-02-08 11:16:00,1.114,BIOC when does the offering close
AleksEars1,True,2019-02-08 11:15:00,1.119,BIOC we tested 2 and 3 with no news we got an opportunity to enter 1 march I see 6 i am in now for 20k shares
LIGator,,2019-02-08 11:15:00,1.119,BIOC shows how much better OCX is they do a secondary 375 and its up BIOC is down
ShortSqueezedVIP,True,2019-02-08 11:14:00,1.114,BIOC bottom buying alert 9 Holding new short position and an ignited grenade is no difference
LoOseMoNeY,True,2019-02-08 11:12:00,1.112,BIOC Actually Over a month of butthurt 45 and no pun intended by calling this drop short lived
LoOseMoNeY,True,2019-02-08 11:11:00,1.12,BIOC The only reason you are seeing so much bearish is the slight jubilation after a month of butthurtWatch how short lived
Stock_prodigy94,True,2019-02-08 11:10:00,1.115,BIOC had to jump in couldnt resist
Asadullah93,,2019-02-08 11:09:00,1.114,BIOC
movingfast77,True,2019-02-08 11:08:00,1.117,BIOC Im in long do some day trades with big pops my limits are set very high been here many times when jumped 500700 in 2 days
davegoldo,True,2019-02-08 11:07:00,1.118,BIOC what is real float with all their offer 10 millions shares 5 usd price target is still alive
snack_man,True,2019-02-08 11:06:00,1.125,BIOC this is going to fly Thanks for the cheap shares
HarryFly,,2019-02-08 11:05:00,1.12,BIOC
nikes_kalra,,2019-02-08 11:04:00,1.111,BIOC agreement to supply Agiomix announced yesterday Whatd you think theyll use this funding forto bring their product to mkt
movingfast77,True,2019-02-08 11:03:00,1.119,BIOC this is the next 400 pop bigger than MBOT ad fast as it dropped it will gain much more
Cajunasbobbyboucher,True,2019-02-08 11:01:00,1.111,APOP catch the next runner before it runs after it ran but before the next run lol thanks CEI BIOC HSGX
BigBooty949,,2019-02-08 11:00:00,1.108,BIOC come on over the waters acid
Oshaberi_owarida,,2019-02-08 10:58:00,1.113,BIOC if it hits 90 i will buy and then sell for 90 bucks
PUTTINONRITZ,,2019-02-08 10:58:00,1.113,BIOC wtf happen here lol hahaha tgif all i can say tgif mkts cliff hanging bearbull lets see who takes it IMHO FFACERIP BULL MOMENT
wax_guy,,2019-02-08 10:56:00,1.111,BIOC what happened to the 225 placement
davegoldo,True,2019-02-08 10:56:00,1.111,BIOC mgt raise 97 millions usd in emergency really hope there is huge contract news next week
YellowSkin,,2019-02-08 10:55:00,1.115,BIOC wtf happen here
YourLocalHawkeyeSTi,True,2019-02-08 10:55:00,1.115,BIOC in 112 ALL ABOARD THE BULLTRAIN
ShortSqueezedVIP,True,2019-02-08 10:55:00,1.115,BIOC bottom buying alert 8 Happy Campers are dip buying your panic
mcballs,,2019-02-08 10:54:00,1.11,BIOC wow some dumb people here touting they made any dollars this stock is Junk 6 years multiple RSs offerings out the azz always broke
Pepe1234,True,2019-02-08 10:54:00,1.11,BIOC awful day guys Im fucking red everywhere
GirlGamer,,2019-02-08 10:53:00,1.11,BIOC wow great support 111
FreeTD,,2019-02-08 10:51:00,1.111,BIOC when does this pos rs
Stock_prodigy94,,2019-02-08 10:49:00,1.11,BIOC what yall think for Monday Any thoughts
LoOseMoNeY,True,2019-02-08 10:48:00,1.113,BIOC Picked up some 112 will do some more if it holds these levels or higher Be safe
dontgethigh,True,2019-02-08 10:48:00,1.113,BIOC 107 HSGX 8 MNGA 89 dip buy and already in profit in down market What a day Loved it
davegoldo,True,2019-02-08 10:47:00,1.116,BIOC buy yesterday at 2 usd was stupid but short today at 1 10 is suicide
StockDiggerTurk,,2019-02-08 10:47:00,1.116,TRIL looks like the bottom is in for TRIL MNGA and BIOC killed today Wow
Cdeen,True,2019-02-08 10:47:00,1.116,BIOC literally no one selling
Ballinnnn,True,2019-02-08 10:46:00,1.11,BIOC lets go here we go
GeoHendrix,True,2019-02-08 10:46:00,1.11,BIOC no choice
P82,True,2019-02-08 10:44:00,1.115,BIOC 111 is the bottom
am4ture,True,2019-02-08 10:44:00,1.115,BIOC There are some people here who shorted at this range and now hoping for it to go down It will not guys Just cover sooner
rddr,False,2019-02-08 10:42:00,1.115,BIOC
LoOseMoNeY,True,2019-02-08 10:42:00,1.115,BIOC Biggest hit ever in a 5 min span yet conveniently stopped falling at the momentum point laid in December Yeah ok
timeismoney2011,,2019-02-08 10:41:00,1.118,BIOC how much cash they bleed it would honestly not surprise me if they do another offering below 1
SerialStockGains,False,2019-02-08 10:41:00,1.118,BIOC this is another crappy stock Two offerings a month apart
LoOseMoNeY,True,2019-02-08 10:41:00,1.118,BIOC Quite impressive really Check charts 5 min time frame never ever in its history has it been hit like that NEVER
Ksagun12,,2019-02-08 10:39:00,1.118,BIOC in at 113
BigBooty949,,2019-02-08 10:38:00,1.118,BIOC dumpstered
timeismoney2011,False,2019-02-08 10:38:00,1.118,BIOC this s had any type of value it would been priced at 2 offering not 120
am4ture,True,2019-02-08 10:37:00,1.116,BIOC look at the volume whoever wanted to sell already sold This is the bottom IMO
Vols,,2019-02-08 10:37:00,1.116,BIOC Why it did trip HALT is hard to believe it fell very fast make me wonder who behind the curtain
sully101,True,2019-02-08 10:36:00,1.12,BIOC added 4kclose over 150 soon
Ballinnnn,True,2019-02-08 10:35:00,1.13,BIOC buy buy buy while its cheap
Yamahar6,,2019-02-08 10:34:00,1.115,BIOC one mans trash is another mans treasure Hmmm
timeismoney2011,False,2019-02-08 10:34:00,1.115,BIOC theres a guy on the Yahoo feed that is down 25000 Sad
ShortSqueezedVIP,True,2019-02-08 10:34:00,1.115,BIOC bottom buying alert 7 Offering on any microcap stock is common after price broke out Panic Dip Buy and stay PAYtient
Asadullah93,,2019-02-08 10:33:00,1.115,BIOC share ur losesSS it and list it here
timeismoney2011,False,2019-02-08 10:33:00,1.115,BIOC I still dont know how this is legal in this country Report these crooks to the SEC
LoOseMoNeY,True,2019-02-08 10:32:00,1.115,BIOC Yeah listen to all these helpful Bears Who arent trying to profit off of your fear Sorry just have to love it
timeismoney2011,False,2019-02-08 10:31:00,1.117,BIOC 50 hair cut Sentiment is red Still not late earning your money back shorting this POS Highly likely will go back to 060 range
snack_man,True,2019-02-08 10:30:00,1.118,BIOC dont get scared avg down
lilshoebox,,2019-02-08 10:30:00,1.118,BIOC in at 110
mrknight411,,2019-02-08 10:29:00,1.11,I find it ironic how most of the people who got fed up with MNGA went over to BIOC and now both stocks are the top losers today
goldie12,True,2019-02-08 10:29:00,1.11,BIOC why the panic the same day last month this stock was 94 all it can do is go up the company has many ground breaking innovations
EverythingOnHMNY,,2019-02-08 10:28:00,1.106,Glad i dumped my BIOC when i did it could be the next HMNY
WizeAce,False,2019-02-08 10:26:00,1.104,BIOC lol RS is guaranteed This company is just repeating what it did years ago just walk out and save yourself dong rely on hope
MrKnowNothing,,2019-02-08 10:26:00,1.104,BIOC New to this stock Is there any possibility to a RS Has it been announced Couldnt find much info online
Rachaelrules,True,2019-02-08 10:26:00,1.104,COTY Making all my money from BIOC right now
Black_Dragon,False,2019-02-08 10:24:00,1.107,BIOC this offering is a scamp
snack_man,True,2019-02-08 10:24:00,1.107,BIOC excellent time to buy Ask a short for advice and sound stupid If they dont answer Buy Buy Buy
GreenTak,True,2019-02-08 10:24:00,1.107,AMRS Trending G watch SGMO SNNA MNGA MAT FLDM AMRS FSCT RPD EGAN COTY MAT WRTC SKX AVP L watch BIOC APOP
movingfast77,True,2019-02-08 10:23:00,1.11,BIOC FUTURE UPCOMING CATALYST WILL HAVE THIS RIGHT BACK TO WHERE IT WAS 237
Jasonbush,,2019-02-08 10:23:00,1.11,BIOC I almost sold yesterday at 211 Two stock offerings in a week
timeismoney2011,False,2019-02-08 10:23:00,1.11,BIOC if it had any type of value it would been offered at a higher price
movingfast77,True,2019-02-08 10:22:00,1.106,BIOC if I was buying 700k shares I would want to buy at a discount also with asurance that price will climb with future catalyst
timeismoney2011,False,2019-02-08 10:22:00,1.106,BIOC it will keep dumping
timeismoney2011,False,2019-02-08 10:21:00,1.105,BIOC look at all these stocks that made these 200 moves they eventually go sub 1 and
jbX1,,2019-02-08 10:21:00,1.105,APOP BIOC inside trading
movingfast77,True,2019-02-08 10:21:00,1.105,BIOC Come back next week price will be back and higher GOOD NEWS STILL TO COME
flipping,True,2019-02-08 10:20:00,1.106,BIOC added at 111
timeismoney2011,False,2019-02-08 10:19:00,1.105,BIOC sell at this price and then buy back in couple months
timeismoney2011,False,2019-02-08 10:19:00,1.105,BIOC no its not a nightmare this is real life you got screwed Best thing you can do is protect your investment whatever you got left
PUTTINONRITZ,,2019-02-08 10:18:00,1.106,BIOC smart ceos good pipeline get boutborrow dont screw shs to get something is very off with these offerings caution altogether gl
timeismoney2011,False,2019-02-08 10:17:00,1.105,BIOC theyre just so dirty posting the news right at midnight when everyone is sleeping Shady ass f
PUTTINONRITZ,,2019-02-08 10:17:00,1.105,BIOC smart ceos dont drop pps in offering like they just did wo serious outliar issues in fin ceo like short seller sold to sabby dumb
PUTTINONRITZ,,2019-02-08 10:16:00,1.106,BIOC u guys think you know so much this ceo needs doesnt give shit about SHs last 3offer dilusional all over place 114 215120
RicFlairDrip,,2019-02-08 10:16:00,1.106,GOOS Cayman Im coming for you Walk around the beach with my Canada Goose on coz thats how i roll BIOC COTY MBOT EGAN movers
Dirk_Diggler53,False,2019-02-08 10:16:00,1.106,BIOC What the hell happened This shit was 225 yesterday
phucdo116,True,2019-02-08 10:15:00,1.105,BIOC theres no other way for this to go lower now
P82,True,2019-02-08 10:15:00,1.105,BIOC PR will run this back up
timeismoney2011,False,2019-02-08 10:15:00,1.105,BIOC who has more shares to short Let us know Will buy them
Ballinnnn,True,2019-02-08 10:14:00,1.105,BIOC we have a 120 minimum easy money up for grabs after that who knows for now hold your balls
PUTTINONRITZ,,2019-02-08 10:14:00,1.105,BIOC mkts today very risky we could easily drop 265 support SPY if we do game over in here folks better hurry up cover shorts get long now
TxWx,,2019-02-08 10:14:00,1.105,BIOC dont get emotionally attached to a stock itll f you up every time
R34_Money,,2019-02-08 10:13:00,1.106,BIOC press f
P82,True,2019-02-08 10:13:00,1.106,BIOC should average out to 150s
PUTTINONRITZ,,2019-02-08 10:12:00,1.106,BIOC LETS C 350s BUY 1500S PPS avg dwn 1812 2500S IF GOES GREAT BUT WHAT IF IT GOES 50C 131X2500s my losses double ouch dont doit
Dowager,,2019-02-08 10:11:00,1.115,Looks like today is offerings day of stock market MNGA APOP BIOC PULM MYO STAF
rincon69,,2019-02-08 10:11:00,1.115,BIOC my days of trading are over
yai,False,2019-02-08 10:10:00,1.115,BIOC can you say otc
andypandyqt,,2019-02-08 10:10:00,1.115,BIOC lol
am4ture,True,2019-02-08 10:10:00,1.115,BIOC whoever shorted at the bottom around 107 made a mistake Better to cover up now
PUTTINONRITZ,,2019-02-08 10:10:00,1.115,BIOC ppl avg in when stock going up not dwn lol double your losses on hope goes up nono u feed bears RAISE BIDASK HELLO PPL MVES STK OMG
timeismoney2011,False,2019-02-08 10:10:00,1.115,BIOC dilution and short attack far from over We still have couple more days to bring this POS below 1
FriendlyOldJoe,False,2019-02-08 10:09:00,1.114,BIOC this is some major immediate dilution No more low float Hello RS
LogicalTrading,True,2019-02-08 10:09:00,1.114,NAK Sold at 102 from 94 needed to hold 1 Will revisit later Currently in HSGX BIOC thank you shorts and holding PCG
am4ture,True,2019-02-08 10:08:00,1.105,BIOC That was the bottom IMO
Gedrough,,2019-02-08 10:08:00,1.105,BIOC whats going on with this
FriendlyOldJoe,False,2019-02-08 10:08:00,1.105,BIOC Where is Lose Money and Moving Up Fast Nice work guys
am4ture,True,2019-02-08 10:07:00,1.116,BIOC Sellers faded Time to go up now
FriendlyOldJoe,False,2019-02-08 10:07:00,1.116,BIOC Dont mess with old Joe
BigMov3s,,2019-02-08 10:06:00,1.115,BIOC lol if you buy you are just filling the sell orders dont be dumb wait it out
WiseKingSolomon,,2019-02-08 10:06:00,1.115,BIOC E I G H T H O F F E R I N G I N F O U R Y E A R S
Scary09,,2019-02-08 10:06:00,1.115,BIOC in at 109 need some revenge on this one
Nationalism94,,2019-02-08 10:06:00,1.115,BIOC All I can say is Jesus
timeismoney2011,False,2019-02-08 10:05:00,1.106,BIOC you cant even blame the bears on this one blame on your CEO NotMyCEO
crazedpoetbull,True,2019-02-08 10:05:00,1.106,BIOC analystsbuzzcom201902pr Bears get out Longs will win
mabidi786,True,2019-02-08 10:05:00,1.106,BIOC what an opportunity Easy jump to 120 oversold
rincon69,,2019-02-08 10:05:00,1.106,BIOC oh well bought this at 230 last week and now i wake up to this jeez
LoLzING,,2019-02-08 10:04:00,1.105,BIOC hahaha
Oryegrg12,,2019-02-08 10:04:00,1.105,BIOC yah theres a pump coming after this kids
Ballinnnn,True,2019-02-08 10:04:00,1.105,BIOC here we go to the
ShortSqueezedVIP,True,2019-02-08 10:03:00,1.112,BIOC bottom buying alert 6 Bears joining Bulls party
WaitForTheDips,,2019-02-08 10:03:00,1.112,BIOC its an offeringlittle hope it will bounce Moving to VTVT SNNA MBOT
Oshaberi_owarida,,2019-02-08 10:02:00,1.099,BIOC lol
Luke42o,,2019-02-08 10:01:00,1.089,BIOC lets go
RiggyRoss,,2019-02-08 09:59:00,1.085,BIOC lol Reverse split after close some of you are tools
TheLazyGenius,True,2019-02-08 09:58:00,1.085,AMRS YES Made back my losses with BIOC Looking for more
powermike,False,2019-02-08 09:58:00,1.085,BIOC only positive its still over a buck
Kimochii,True,2019-02-08 09:58:00,1.085,BIOC weak hand going out We can see 120 soon
PUTTINONRITZ,,2019-02-08 09:58:00,1.085,BIOC chart 11419 zone 128114 this doesnt hold stock going under 1 markit Would highly suggest all trading stk c it or lose it
am4ture,True,2019-02-08 09:58:00,1.085,BIOC haha sellers are fading Holding strong
MrStockTrader,True,2019-02-08 09:57:00,1.085,HSGX BIOC APOP id watch ALYI for a bounce and uptrend great day yesterday with good news today
csb3,False,2019-02-08 09:57:00,1.085,BIOC they will need to pump fast
MrLe,True,2019-02-08 09:57:00,1.085,BIOC maybe buy some below 1
csb3,False,2019-02-08 09:56:00,1.087,BIOC definite rs coming after offering closes Not sure the logic on offering at 85 below market value
timeismoney2011,False,2019-02-08 09:56:00,1.087,BIOC you never want to hold a bag on these trash stocks could easily go bankrupt tomorrow weve seen it happen over and over again
quidproqou,,2019-02-08 09:56:00,1.087,BIOC bioc loves me this i know for their stock price me so
ShortSqueezedVIP,True,2019-02-08 09:56:00,1.087,BIOC bottom buying alert 5 Smart Bears closing out position gonna go Long
TodayStockAlerts,False,2019-02-08 09:55:00,1.085,BIOC Read the book Daytrading Joe Ross cut the expenses cut the loss position
timeismoney2011,False,2019-02-08 09:54:00,1.085,BIOC and yes I will tell you told you so when we go back to 060
powermike,False,2019-02-08 09:54:00,1.085,BIOC another RS happening soon
BigDaddy512,False,2019-02-08 09:54:00,1.085,BIOC you got ganked
WiseKingSolomon,,2019-02-08 09:54:00,1.085,BIOC Management Autism Continues This is the 8th offering in 4 years with 2 reverse splits in the same timeframe
timeismoney2011,False,2019-02-08 09:54:00,1.085,BIOC sometimes accepting defeat is the best move that you can make
timeismoney2011,False,2019-02-08 09:53:00,1.073,BIOC hot trash Just accepted you got played
gandi12,,2019-02-08 09:53:00,1.073,BIOC slow and steady down
WiseKingSolomon,,2019-02-08 09:53:00,1.073,BIOC Management of this company is beyond autistic Theyre offering 15x additional stock than current float at 60 of closing price
TodayStockAlerts,False,2019-02-08 09:53:00,1.073,BIOC MBOT invest your money in good companies see fundamentals Roi Roe PE Dont buy garbage for 2019
coinage,False,2019-02-08 09:52:00,1.071,BIOC When you dont chase you miss out on the baseless euphoric run but you also get to miss out on the offering
humour,False,2019-02-08 09:52:00,1.071,BIOC LOL you have been warned here tons of times bagholders
singa_stock,,2019-02-08 09:52:00,1.071,BIOC will buy below 1 seen this story before this likely hits 075 Sigh
dontgethigh,True,2019-02-08 09:52:00,1.071,BIOC in at 107 long here
P82,True,2019-02-08 09:51:00,1.07,BIOC Buying Opportunity
bdiv,,2019-02-08 09:51:00,1.07,BIOC just going to hold and make some money elsewhere Hopefully Ill see this over 183 soon
bosco350,,2019-02-08 09:51:00,1.07,BIOC GAMES GAMES GAMES 10 DOLLARS BY MARCH
timeismoney2011,False,2019-02-08 09:51:00,1.07,BIOC bears attack Lets bring this ship down below 1
Enzyme03,,2019-02-08 09:51:00,1.07,BIOC I get the filing its the pump that is amazing 100s thousands millions curious
Enzyme03,,2019-02-08 09:50:00,1.075,BIOC i just wonder how much money a small co like this makes off the market when pullin these moves
parknfly,True,2019-02-08 09:50:00,1.075,CLD daily doubler buy BIOC to close the day
DipnDive,,2019-02-08 09:50:00,1.075,Tdc1 Were you in and out of BIOC Whats the skinny on it
Oryegrg12,,2019-02-08 09:49:00,1.075,BIOC yah im buying this up thanks for the gift
sanchezklauss,,2019-02-08 09:49:00,1.075,BIOC Just saw a guy flying by my office window must be the one who bought 20k shares for 220 premarket
mcballs,,2019-02-08 09:49:00,1.075,BIOC news and offerings CEO bonuses in the millions this guy is a POS CEO 50 haircut wow crooked mgmt sell before you lose more junk here
ShortSqueezedVIP,True,2019-02-08 09:49:00,1.075,BIOC bottom buying alert 4 while cheap shares last
DiverX,,2019-02-08 09:48:00,1.077,BIOC mired in debt
LearnAndEarn,True,2019-02-08 09:48:00,1.077,BIOC in at 108
DiverX,,2019-02-08 09:48:00,1.077,BIOC lol here it is again Like clockwork
phucdo116,True,2019-02-08 09:47:00,1.085,BIOC big share holder dumping Will fill up again Buy at the dip
Trump_Dump,False,2019-02-08 09:47:00,1.085,BIOC FIRESALE
Kcmule,,2019-02-08 09:46:00,1.08,MNGA All those come make your money back in BIOC yesterday
Ballinnnn,True,2019-02-08 09:46:00,1.08,BIOC hold your shit you are we doing well for 15min itll come right back
bulimicrainbows,False,2019-02-08 09:46:00,1.08,MNGA i hope there wasnt anybody in here who fell for the BIOC trap too saw a few trying to lure them over yesterday
am4ture,True,2019-02-08 09:46:00,1.08,BIOC Im gonna be patient with this one Averaged down and holding onto my shares Waiting and gaining is better than losing immediately
Spend2Gain,False,2019-02-08 09:45:00,1.098,BIOC accept and move on
powermike,False,2019-02-08 09:45:00,1.098,BIOC a bull fighting a short
mcballs,,2019-02-08 09:45:00,1.098,BIOC wow where is the lawsuit he should not have the right to do this to shareholders going to 15 cents I warned you all CEO is a crook
Wurdmeister,True,2019-02-08 09:45:00,1.098,BIOC buyandhold microcaps are the rarest unicorns Very few treat you well long term
prash1,,2019-02-08 09:45:00,1.098,BIOC why down guys
ShortSqueezedVIP,True,2019-02-08 09:43:00,1.108,BIOC bottom buying alert 3 RiskReward ratio is appealing
bdiv,,2019-02-08 09:43:00,1.108,BIOC sell the bag or hold it Currently holding 5000 at 183 Opinions
timeismoney2011,False,2019-02-08 09:43:00,1.108,BIOC two forces against you are short attack and dilution good luck and remember to always protect your investment
ayayron,,2019-02-08 09:42:00,1.107,BIOC take us back to January 14th
timeismoney2011,False,2019-02-08 09:42:00,1.107,BIOC higher chance of making money on these pops is too short them
timeismoney2011,False,2019-02-08 09:41:00,1.112,BIOC all of these CEOs all operate the same way for all them microcaps Its a moneymaking scheme for them Short the s out of it
LindaKay,True,2019-02-08 09:40:00,1.115,BIOC just sticking my head in Was a longgggg But out with a huge loss On watch list WHAT HAPPENED MUERTE Maggie
Rooster1279,,2019-02-08 09:40:00,1.115,BIOC Time for a new brokerage system down again errr cant buy this sucks
ShortSqueezedVIP,True,2019-02-08 09:38:00,1.123,BIOC bottom buying alert 2 Buy now or Chase later
timeismoney2011,False,2019-02-08 09:38:00,1.123,BIOC offering below 1 then reverse and split cycle continues
Enzyme03,,2019-02-08 09:38:00,1.123,BIOC ouch shame on me
buysellbkr,,2019-02-08 09:37:00,1.113,BIOC
davegoldo,True,2019-02-08 09:37:00,1.113,BIOC average pricing 134 usd Should close nearly it today
powermike,False,2019-02-08 09:37:00,1.113,BIOC there it goes
ShortSqueezedVIP,True,2019-02-08 09:36:00,1.115,BIOC bottom buying alert Super Big Sales
brylant,,2019-02-08 09:36:00,1.115,BIOC what a punch
awilson2783,True,2019-02-08 09:36:00,1.115,BIOC Break 114 and were OFF
Sk00baSteVe,,2019-02-08 09:36:00,1.115,BIOC holy shiz woke up to being down 45 FML
Ballinnnn,True,2019-02-08 09:35:00,1.131,BIOC it held up just fine for the past month and it was only 65m shares Its a commin back soon
brandon5,True,2019-02-08 09:35:00,1.131,COTY Come here to make up your losses from BIOC
brylant,,2019-02-08 09:34:00,1.119,BIOC lol welcome new bag holders
Settemij,,2019-02-08 09:34:00,1.119,BIOC You only take the L if you sell right now Im holding even if it doesnt go back up today it will go back up
shivo17,False,2019-02-08 09:34:00,1.119,BIOC o yea its gonna fly hahha come on guys
Black_Dragon,False,2019-02-08 09:34:00,1.119,BIOC fucking ceo
quidproqou,,2019-02-08 09:33:00,1.116,BIOC if u own this stock your odds of dying from cancer are greatly reduced
awilson2783,True,2019-02-08 09:33:00,1.116,BIOC LEGO
Ballinnnn,True,2019-02-08 09:33:00,1.116,BIOC its holding Everyone buy huge rip
sumitg90,True,2019-02-08 09:33:00,1.116,TMSR kaboommmmm Invest here a growing get funds back BIOC APOP MLNT
kramz2000,True,2019-02-08 09:33:00,1.116,BIOC lets hope this heads to 200 today In now 1500 shares avg 112
Slyce476,,2019-02-08 09:33:00,1.116,BIOC where is the bottom In at 113
RealTr,False,2019-02-08 09:32:00,1.124,BIOC Just made an account to congratulate all the gurus and specialists who said 18 is NOW IS YOUR CHANCE to buy Enjoy the baggies
awilson2783,,2019-02-08 09:32:00,1.124,BIOC HERE WE GO
sujeto,True,2019-02-08 09:32:00,1.124,BIOC may retest all time lows
BigMov3s,,2019-02-08 09:32:00,1.124,BIOC ouch going sub 100 and dumping continues
X_marksthaspot,False,2019-02-08 09:31:00,1.112,BIOC fuck this
timeismoney2011,False,2019-02-08 09:31:00,1.112,BIOC opps
TheStockSinatra,,2019-02-08 09:30:00,1.113,APOP BIOC MNGA Ouch Watch for an entry in these two PM losers
davegoldo,True,2019-02-08 09:30:00,1.113,BIOC 2 offerings less than month With 50 discount on the second What a fucking management
am4ture,True,2019-02-08 09:30:00,1.113,BIOC gonna keep my stock for the long term Added 1000 more to average down
TradeIdeasQuant,,2019-02-08 09:30:00,1.113,BIOC tradeideascomtickyticky Ouch that is going to Leave a mark Down 45 for the day
Ballinnnn,True,2019-02-08 09:30:00,1.113,BIOC hold onto your shit we gonna rocket from here to the moon
